CPLEX 12.6.0.0: time=600
CPLEX 12.6.0.0: optimal integer solution; objective 3302537
4 MIP simplex iterations
0 branch-and-bound nodes
Items in the knapsack:
ID	Cost	Value
1	1	1001
2	6119	7119
3	1896	2896
4	7187	8187
6	997	1997
8	1022	2022
11	6874	7874
12	5522	6522
15	3486	4486
16	705	1705
20	3554	4554
21	4589	5589
23	5325	6325
25	4000	5000
27	5776	6776
28	4276	5276
29	2123	3123
34	5798	6798
35	6047	7047
36	427	1427
40	1091	2091
41	5247	6247
43	3211	4211
44	6010	7010
46	5838	6838
47	2627	3627
48	1725	2725
49	3760	4760
50	3843	4843
51	4776	5776
52	6137	7137
53	6475	7475
54	4977	5977
55	937	1937
57	2101	3101
58	3099	4099
59	4281	5281
60	4609	5609
63	3530	4530
64	6097	7097
66	975	1975
67	6248	7248
69	3768	4768
70	2241	3241
71	6031	7031
72	5584	6584
74	1348	2348
75	1881	2881
77	5367	6367
78	5178	6178
80	1641	2641
82	6898	7898
85	4824	5824
86	3391	4391
88	6101	7101
89	3472	4472
90	3636	4636
92	1087	2087
93	775	1775
95	2371	3371
96	5867	6867
97	1337	2337
98	2054	3054
100	1509	2509
101	6204	7204
102	2989	3989
103	5594	6594
107	5226	6226
108	2513	3513
110	3201	4201
112	1227	2227
114	4082	5082
115	2959	3959
116	296	1296
117	392	1392
118	5802	6802
119	5709	6709
120	3537	4537
121	1940	2940
122	2943	3943
124	2997	3997
125	79	1079
127	922	1922
131	3947	4947
136	1250	2250
137	3754	4754
138	6586	7586
140	2631	3631
141	4636	5636
142	5752	6752
145	390	1390
146	1542	2542
149	6111	7111
150	6550	7550
151	588	1588
154	6702	7702
155	5155	6155
156	2020	3020
157	2723	3723
158	3179	4179
159	4723	5723
160	1770	2770
161	667	1667
162	2095	3095
163	4829	5829
164	1598	2598
166	6885	7885
167	1590	2590
168	4239	5239
170	6037	7037
171	1823	2823
174	1923	2923
175	1056	2056
176	5261	6261
177	4977	5977
178	786	1786
180	46	1046
181	6689	7689
182	6438	7438
183	6933	7933
184	2116	3116
186	6503	7503
188	3603	4603
189	5686	6686
190	6194	7194
191	6466	7466
192	2341	3341
194	3545	4545
195	784	1784
198	2810	3810
199	6223	7223
200	2260	3260
201	5541	6541
202	5197	6197
