CPLEX 12.6.0.0: time=600
CPLEX 12.6.0.0: optimal integer solution within mipgap or absmipgap; objective 40718
4 MIP simplex iterations
0 branch-and-bound nodes
absmipgap = 2, relmipgap = 4.91183e-05
Items in the knapsack:
ID	Cost	Value
0	205	305
1	1	101
2	119	219
4	187	287
5	367	467
7	690	790
8	22	122
9	613	713
10	347	447
13	122	222
14	730	830
15	486	586
16	705	805
18	232	332
19	463	563
20	554	654
21	589	689
22	675	775
23	325	425
26	407	507
28	276	376
29	123	223
30	331	431
31	356	456
32	361	461
33	305	405
35	47	147
36	427	527
37	645	745
38	439	539
39	139	239
40	91	191
41	247	347
42	650	750
43	211	311
44	10	110
45	100	200
47	627	727
52	137	237
53	475	575
57	101	201
58	99	199
59	281	381
60	609	709
63	530	630
64	97	197
65	240	340
67	248	348
68	226	326
70	241	341
71	31	131
72	584	684
73	613	713
74	348	448
76	475	575
77	367	467
78	178	278
79	712	812
80	641	741
81	410	510
82	898	998
83	157	257
84	250	350
86	391	491
87	242	342
88	101	201
89	472	572
90	636	736
92	87	187
94	652	752
95	371	471
97	337	437
98	54	154
100	509	609
101	204	304
103	594	694
104	129	229
105	226	326
106	597	697
107	226	326
108	513	613
110	201	301
111	537	637
112	227	327
113	112	212
114	82	182
116	296	396
117	392	492
120	537	637
125	79	179
126	642	742

costBound = 31620

totalCost = 31618

totalValue = 40718

